Airport,Code,2001 Rank,2001 Total,2010 Rank,2010 Total,2011 Rank, Total,Percent change 2001-2011,Percent change 2010-2011
"Washington, DC (Ronald Reagan Washington National)",DCA,33,"5,784,639",25,"8,630,921",26,"6,693,814",15.7,-22.4
"San Diego, CA (San Diego International)",SAN,29,"7,254,291",27,"8,347,443",27,"6,233,324",-14.1,-25.3
"Tampa, FL (Tampa International)",TPA,27,"7,458,091",28,"7,949,335",28,"6,017,993",-19.3,-24.3
"Honolulu, HI (Honolulu International)",HNL,26,"7,794,787",29,"7,484,065",29,"5,666,153",-27.3,-24.3
"Portland, OR (Portland International)",PDX,31,"6,005,120",30,"6,517,305",30,"5,041,875",-16.0,-22.6
"St. Louis, MO (Lambert-St Louis International)",STL,13,"12,864,472",31,"6,013,884",31,"4,579,048",-64.4,-23.9
"Kansas City, MO (Kansas City International)",MCI,36,"5,495,846",32,"4,938,386",32,"3,730,987",-32.1,-24.4
"Milwaukee, WI (General Mitchell Field)",MKE,58,"2,557,598",34,"4,753,992",33,"3,615,279",41.4,-24.0
"Houston, TX (William P. Hobby)",HOU,42,"4,120,895",40,"4,357,456",34,"3,508,108",-14.9,-19.5
"Nashville, TN (Nashville International)",BNA,43,"4,080,700",38,"4,412,689",35,"3,477,547",-14.8,-21.2
"Memphis, TN (Memphis International)",MEM,38,"4,786,581",33,"4,926,225",36,"3,340,385",-30.2,-32.2
"Cleveland, OH (Hopkins International)",CLE,35,"5,528,785",35,"4,574,472",37,"3,313,734",-40.1,-27.6
"Austin, TX (Austin-Bergstrom International)",AUS,47,"3,430,348",42,"4,200,766",38,"3,296,237",-3.9,-21.5
"Oakland, CA (Oakland International)",OAK,37,"5,487,002",36,"4,566,953",39,"3,288,377",-40.1,-28.0
"Raleigh, NC (Raleigh-Durham International)",RDU,41,"4,483,332",37,"4,434,774",40,"3,281,328",-26.8,-26.0
"Sacramento, CA (Sacramento International)",SMF,44,"3,874,856",39,"4,391,998",41,"3,275,109",-15.5,-25.4
"Santa Ana, CA (John Wayne-Orange County)",SNA,45,"3,618,717",41,"4,267,217",42,"3,166,917",-12.5,-25.8
"New Orleans, LA (Louis Armstrong International)",MSY,39,"4,682,763",44,"4,081,146",43,"3,144,803",-32.8,-22.9
"San Jose, CA (Norman Y. Mineta San Jose International)",SJC,32,"5,865,995",45,"3,992,074",44,"3,053,598",-47.9,-23.5
"Pittsburgh, PA (Pittsburgh International)",PIT,23,"8,710,841",46,"3,986,065",45,"3,047,162",-65.0,-23.6
"San Juan, PR (Luis Munoz Marin International)",SJU,40,"4,537,774",43,"4,151,370",46,"2,991,599",-34.1,-27.9
"San Antonio, TX (San Antonio International)",SAT,51,"3,254,348",48,"3,861,772",47,"2,916,935",-10.4,-24.5
"Dallas, TX (Dallas Love Field)",DAL,49,"3,350,775",49,"3,782,407",48,"2,866,109",-14.5,-24.2
"Fort Myers, FL (Southwest Florida International)",RSW,59,"2,503,843",51,"3,610,618",49,"2,817,684",12.5,-22.0
"Indianapolis, IN (Indianapolis International)",IND,48,"3,410,636",50,"3,716,884",50,"2,750,105",-19.4,-26.0
